,album_id,album_type,album_name,release_date,total_tracks,track_id,track_name,Genre,Language,duration_ms,popularity,is_explicit,artist_id,artist_name,Label
50,3EoAmXjQyTjIROo9Te9Lk1,compilation,teen beats 2022,2022-07-26,60,1NiBew3B3WkowiXJUMlPPZ,I Like You (A Happier Song),Pop-rap,,192840,4,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
51,0984MIZHEDGUbvFYwAxh1b,compilation,Hits Eté 2022,2022-08-08,22,7xjxoueUA9R8WeuItLAw6n,I Like You (A Happier Song),Pop-rap,,192840,14,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
52,6ALinXowLle2U86TMN3XU9,compilation,Vacation Vibes,2022-07-27,73,2mJttm2bygSGT1y55C9ASj,I Like You (A Happier Song),Pop-rap,,192840,4,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
53,7g5J73OxvZ4YlfITCaCMU8,compilation,Goodbye Summer 2022,2022-08-10,24,6W3FyJswXjodQWy0sMUxbS,I Like You (A Happier Song),Pop-rap,,192840,5,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
54,661GmzArAkjQC9vA2LlmQ2,compilation,Urlaubshits 2022,2022-07-27,55,59f6pH6jFJIm8YpkS8843F,I Like You (A Happier Song),Pop-rap,,192840,6,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
55,6rMJ0G3guoUS7WYxB30m9Q,compilation,Hits of the Summer 2022,2022-06-29,30,3hQiZG7IqaY3MAYf6HiSoW,I Like You (A Happier Song),Pop-rap,,192840,2,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
56,0EvpnehFvzJsXvAzegAUCD,compilation,Cardio Gym Hits,2022-08-19,69,48pPhNXIsoRdvuUVioj5X2,I Like You (A Happier Song),Pop-rap,,192840,5,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
57,69q2fihRk67AoBWplswkov,compilation,Luxurious Girl,2022-09-16,27,5oCid2f0xN3rNiwcOb0Ay3,I Like You (A Happier Song),Pop-rap,,192840,7,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
58,7F5hxYqhjsUQJJqZPLyDAs,compilation,Hip Hop Workout I Beast Mode,2022-08-30,59,43yenGqgdKr1F9zzL4vkyO,I Like You (A Happier Song),Pop-rap,,192840,7,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
59,3enPdhM79GbVIjvFafj9b1,compilation,Workout Pop Hits 2023,2022-10-11,29,67xDYdzMUg5F7pHqcNx7vh,I Like You (A Happier Song),Pop-rap,,192840,4,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
